month,category,net_inflow_crore
,Large Cap,2413
,Mid Cap,3897
,Small Cap,3533
,Flexi Cap,4947
,Large & Mid Cap,4214
,ELSS,466
,Value/Contra,1328
,Sectoral/Thematic,8052
,Liquid,37537
,Short Duration,4400
,Gilt,784
,Hybrid,2955
,Large Cap,2076
,Mid Cap,5300
,Small Cap,4092
,Flexi Cap,5529
,Large & Mid Cap,4368
,ELSS,553
,Value/Contra,1361
,Sectoral/Thematic,8354
,Liquid,41872
,Short Duration,4833
,Gilt,836
,Hybrid,3487
,Large Cap,2519
,Mid Cap,5047
,Small Cap,3535
,Flexi Cap,4478
,Large & Mid Cap,4610
,ELSS,472
,Value/Contra,1386
,Sectoral/Thematic,10030
,Liquid,40486
,Short Duration,4321
,Gilt,864
,Hybrid,3163
,Large Cap,2574
,Mid Cap,4548
,Small Cap,3582
,Flexi Cap,4869
,Large & Mid Cap,5023
,ELSS,471
,Value/Contra,1582
,Sectoral/Thematic,9896
,Liquid,34643
,Short Duration,4170
,Gilt,959
,Hybrid,3291
,Large Cap,1940
,Mid Cap,3899
,Small Cap,3376
,Flexi Cap,5562
,Large & Mid Cap,5411
,ELSS,499
,Value/Contra,1308
,Sectoral/Thematic,8360
,Liquid,41952
,Short Duration,4658
,Gilt,952
,Hybrid,3684
,Large Cap,1879
,Mid Cap,4960
,Small Cap,4137
,Flexi Cap,5397
,Large & Mid Cap,4528
,ELSS,537
,Value/Contra,1334
,Sectoral/Thematic,8518
,Liquid,35308
,Short Duration,5327
,Gilt,925
,Hybrid,3015
,Large Cap,2255
,Mid Cap,4106
,Small Cap,4444
,Flexi Cap,6004
,Large & Mid Cap,4581
,Value/Contra,1595
,Sectoral/Thematic,7680
,Liquid,39091
,Short Duration,4675
,Gilt,898
,Hybrid,3314
,Large Cap,1870
,Mid Cap,4336
,Small Cap,3256
,Flexi Cap,6111
,Large & Mid Cap,5556
,ELSS,571
,Value/Contra,1436
,Sectoral/Thematic,7397
,Liquid,40506
,Short Duration,5316
,Gilt,704
,Hybrid,3264
,Large Cap,1923
,Mid Cap,5023
,Small Cap,4249
,Flexi Cap,4654
,Large & Mid Cap,4878
,ELSS,521
,Value/Contra,1414
,Sectoral/Thematic,9820
,Liquid,34933
,Short Duration,4159
,Gilt,831
,Hybrid,3538
,Large Cap,2025
,Mid Cap,4316
,Small Cap,4554
,Flexi Cap,5603
,Large & Mid Cap,4816
,ELSS,516
,Value/Contra,1339
,Sectoral/Thematic,7893
,Liquid,33892
,Short Duration,4752
,Gilt,744
,Hybrid,2967
,Large Cap,1925
,Mid Cap,4819
,Small Cap,3534
,Flexi Cap,6068
,Large & Mid Cap,5524
,ELSS,437
,Value/Contra,1400
,Sectoral/Thematic,9215
,Liquid,32374
,Short Duration,4033
,Gilt,942
,Hybrid,3360
,Large Cap,2234
,Mid Cap,5061
,Small Cap,4304
,Flexi Cap,4767
,Large & Mid Cap,4243
,ELSS,500
,Value/Contra,1497
,Sectoral/Thematic,8614
,Liquid,38681
,Short Duration,4886
,Gilt,956
,Hybrid,2830
